Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Value,Recoverable
Washing Machine,Cat1,4.82,8.35,3.22,6.79,4.48,9.0,2.34,2.59,7.03,414.38,1620.4566929999999,0
Tablet,Cat3,4.06,9.28,3.49,5.47,1.07,6.89,1.71,1.62,6.12,391.95,1391.3486220000002,0
iPhone 11,Cat3,2.61,5.24,0.93,5.02,8.28,5.43,5.28,7.38,3.34,181.29,1020.6420639999998,0
Laptop,Cat3,6.3,1.6,9.3,9.08,7.37,3.52,6.82,4.76,5.82,808.95,2553.1655220000002,1
Laptop,Cat3,8.36,2.57,9.58,0.98,6.28,2.74,8.98,0.72,8.27,925.69,1448.955707,0
Toaster,Cat2,2.63,5.34,7.2,8.2,3.25,0.21,2.67,7.89,7.62,518.12,2022.4549020000002,1
Fridge,Cat1,8.82,6.57,3.98,4.59,9.91,8.53,3.5,1.92,2.11,650.69,1587.419341,0
TV,Cat4,8.62,4.91,3.01,6.13,9.54,2.94,4.34,5.18,9.97,587.83,1733.401857,0
Audio Equipment,Cat4,3.57,3.52,0.94,0.99,3.57,7.78,4.65,6.51,2.62,227.99,454.67059199999994,0
TV,Cat4,8.69,2.88,4.68,4.3,5.03,2.74,4.53,7.98,2.93,679.52,1587.355553,0
iPhone 11,Cat3,1.78,5.76,10.0,4.37,1.25,7.11,4.64,0.79,8.82,626.72,1603.498062,0
Laptop,Cat3,8.92,8.97,3.27,1.2,9.97,1.15,7.32,9.83,4.15,618.8,1012.7666549999999,0
Washing Machine,Cat1,6.6,3.56,8.83,4.81,6.39,0.3,1.77,3.28,4.58,799.55,1873.518458,1
Iron,Cat2,3.8,0.85,6.71,7.53,1.15,8.54,0.47,2.18,5.76,546.91,1947.3827760000001,1
Iron,Cat2,4.24,0.65,6.21,4.19,1.18,2.6,6.49,1.49,3.09,541.51,1416.1471990000002,0
Vacuum Cleaner,Cat2,4.22,4.99,7.43,6.38,8.66,2.76,3.3,1.04,6.8,608.49,1857.40086,1
Toaster,Cat2,1.91,6.21,3.04,8.38,8.65,5.69,2.52,5.73,0.61,260.52,1669.8504610000002,0
Iron,Cat2,5.9,2.27,6.15,5.15,6.29,7.32,5.51,2.99,2.84,620.95,1664.786654,0
Washing Machine,Cat1,0.13,3.95,4.41,2.68,8.66,9.89,4.19,1.6,4.11,245.25,784.9602410000002,0
Iron,Cat2,6.29,5.47,2.05,1.38,5.69,3.2,5.92,7.16,2.89,422.18,775.427329,0
iPhone 11,Cat3,0.96,2.6,4.41,1.9,2.77,0.77,6.71,1.12,6.97,285.01,713.859847,0
Tablet,Cat3,5.96,2.17,8.78,7.44,7.1,0.64,2.35,1.92,8.94,764.65,2236.145274,1
Air Conditioner,Cat1,0.59,5.56,9.18,5.28,5.65,9.19,1.8,2.26,9.98,524.3,1604.276348,0
Smartphone,Cat3,5.83,4.17,4.03,6.35,2.19,7.86,4.9,4.07,5.1,504.96,1676.4718200000002,0
Microwave Oven,Cat2,1.07,4.91,4.54,5.63,8.23,7.69,9.34,7.14,3.46,298.9,1311.930256,0
Air Conditioner,Cat1,3.78,3.07,8.52,2.29,1.56,0.28,3.75,4.14,6.9,644.03,1282.4419300000004,0
Tablet,Cat3,4.71,1.81,7.78,0.96,5.42,5.64,2.57,4.73,1.39,649.51,1073.0483490000001,0
Air Conditioner,Cat1,3.54,5.95,1.75,5.38,3.6,5.16,0.83,3.98,9.99,271.26,1201.0404790000005,0
Stove,Cat1,6.93,1.45,6.48,1.44,1.32,0.55,5.37,8.82,8.23,688.58,1179.2511330000004,0
Speaker,Cat4,4.88,6.57,3.09,5.42,3.66,1.38,3.22,3.51,5.98,409.19,1399.3526880000002,0
Smartphone,Cat3,1.25,6.28,4.87,9.88,9.78,1.55,8.23,4.58,5.53,326.12,2009.6762430000006,1
Fridge,Cat1,0.51,2.91,2.97,0.26,2.69,2.18,3.63,7.47,5.4,185.94,315.44137,0
Stove,Cat1,1.86,3.67,6.54,8.08,9.72,1.63,5.41,8.61,3.24,444.08,1901.2663240000002,1
Laptop,Cat3,7.1,1.18,2.74,9.79,4.99,5.47,4.82,5.84,4.2,496.53,2181.0571099999997,1
TV,Cat4,1.12,8.85,2.54,5.43,3.13,9.11,1.85,6.02,7.1,196.41,1125.6354400000002,0
Microwave Oven,Cat2,3.85,4.39,0.23,3.7,5.31,2.54,5.66,3.92,0.85,204.13,835.259665,0
Vacuum Cleaner,Cat2,9.32,9.3,5.48,9.71,9.09,2.8,2.49,0.85,2.01,757.08,2535.8936510000003,1
Laptop,Cat3,2.43,5.26,4.92,2.33,9.69,5.17,4.82,1.21,9.53,386.26,915.7344530000001,0
Speaker,Cat4,4.29,5.82,7.03,5.57,8.4,0.66,4.58,3.43,2.82,590.93,1704.5275120000001,0
Vacuum Cleaner,Cat2,4.53,5.73,0.51,2.35,5.36,5.66,7.61,0.29,4.77,253.38,692.2394270000001,0
Stove,Cat1,3.98,1.58,9.91,3.45,5.06,5.43,2.08,3.34,1.83,727.63,1586.026433,0
Iron,Cat2,1.68,9.91,2.52,6.97,8.53,8.99,2.05,8.53,8.06,223.54,1398.5457059999999,0
Audio Equipment,Cat4,5.39,8.84,7.79,3.81,1.38,0.63,8.55,3.75,7.79,687.34,1564.278259,0
Speaker,Cat4,2.88,1.53,7.44,5.64,8.9,2.41,3.16,8.34,1.3,541.2,1657.1562999999999,0
Audio Equipment,Cat4,3.06,5.58,2.63,2.61,1.57,0.75,6.76,4.31,1.14,294.51,812.7481740000001,0
Washing Machine,Cat1,4.02,1.95,4.21,6.2,1.16,6.81,4.11,3.24,4.5,424.36,1553.4076,0
Tablet,Cat3,5.14,8.19,7.23,7.64,6.24,1.27,3.07,0.98,1.05,644.75,2096.4846150000003,1
Speaker,Cat4,7.31,3.91,0.67,6.32,5.08,0.38,0.64,7.15,2.55,397.4,1490.9378649999996,0
Tablet,Cat3,7.28,6.78,8.9,1.47,0.2,9.04,1.15,1.5,6.93,838.64,1406.871913,0
Speaker,Cat4,5.95,6.88,6.41,7.34,7.13,9.78,9.66,8.78,8.22,640.04,2032.9401619999999,1
Vacuum Cleaner,Cat2,9.71,4.62,2.5,0.95,3.54,7.49,5.8,8.85,6.62,613.9,956.5667020000002,0
Iron,Cat2,4.29,8.14,1.2,7.35,7.67,0.28,4.58,8.73,6.71,279.87,1510.392121,0
Toaster,Cat2,1.82,9.86,3.45,3.21,4.05,8.19,5.48,8.87,5.01,280.14,899.6430409999999,0
Smartphone,Cat3,4.74,0.83,8.3,3.53,4.94,3.32,7.46,8.06,9.02,678.23,1514.431582,0
Air Conditioner,Cat1,4.07,6.75,6.92,7.72,4.81,6.1,4.85,9.25,1.24,574.81,2016.2464539999996,1
Toaster,Cat2,0.29,1.31,8.09,9.16,5.37,0.56,7.79,2.31,7.44,448.56,2094.5307940000002,1
Air Conditioner,Cat1,8.61,9.69,5.6,9.02,3.99,1.8,6.99,9.72,6.71,728.76,2394.9704309999997,1
Tablet,Cat3,4.95,4.87,1.58,2.47,4.53,5.95,9.48,2.68,2.15,330.85,822.7564050000002,0
Smartphone,Cat3,7.97,3.48,7.04,1.13,0.96,7.68,3.38,4.24,0.13,770.97,1243.1600130000002,0
Monitor,Cat4,7.17,8.05,7.89,4.13,7.24,3.63,0.66,8.68,9.06,779.84,1731.7124759999997,0
Toaster,Cat2,4.13,3.42,1.08,4.26,2.98,0.58,2.72,3.51,3.39,262.81,1007.205289,0
Monitor,Cat4,0.41,1.85,4.34,9.22,2.51,3.8,8.71,7.15,5.81,253.85,1808.1146310000001,1
Air Conditioner,Cat1,1.63,1.59,2.73,6.99,1.48,1.88,3.63,1.96,4.27,227.33,1407.289047,0
Monitor,Cat4,4.73,8.99,0.48,0.17,0.47,1.81,9.09,5.17,4.9,263.32,367.2237700000001,0
TV,Cat4,3.25,9.91,1.56,8.22,3.84,4.58,5.82,9.1,0.82,249.1,1611.6919820000003,0
Monitor,Cat4,2.74,4.86,1.74,5.74,8.31,2.11,1.35,5.27,6.37,230.8,1205.3888570000004,0
Audio Equipment,Cat4,4.24,7.69,9.69,0.33,2.23,3.67,5.62,3.58,3.57,732.04,1106.465287,0
Microwave Oven,Cat2,5.36,3.2,4.55,9.22,5.14,9.32,3.62,8.55,4.81,509.24,2133.4796510000006,1
Air Conditioner,Cat1,5.62,3.08,7.13,4.83,7.07,9.46,9.68,9.24,7.16,660.22,1678.130036,0
Laptop,Cat3,0.17,1.34,7.44,9.45,3.88,1.21,6.31,4.87,3.84,407.84,2079.403484,1
Iron,Cat2,6.01,5.11,9.33,0.5,6.04,4.11,6.47,6.64,8.51,798.31,1211.0472609999997,0
Smartphone,Cat3,5.75,5.8,4.06,7.2,0.39,9.2,4.6,1.8,7.32,503.57,1807.2419519999999,1
Washing Machine,Cat1,0.83,0.21,1.24,6.43,2.79,4.72,0.58,6.78,0.75,107.47,1148.982855,0
Washing Machine,Cat1,9.61,4.93,9.29,4.59,6.05,1.5,3.54,3.05,7.57,972.9,2064.654287,1
Audio Equipment,Cat4,6.51,7.73,9.27,0.58,8.56,2.92,2.05,6.11,9.6,821.17,1252.0278300000002,0
Vacuum Cleaner,Cat2,4.21,1.53,0.53,9.59,2.12,9.16,2.3,9.84,4.25,236.34,1792.2514850000002,1
Air Conditioner,Cat1,7.86,2.45,7.63,6.38,7.07,0.11,4.92,2.96,8.69,796.54,2096.777179,1
Vacuum Cleaner,Cat2,8.9,7.57,2.15,7.1,3.1,2.0,2.27,7.07,1.03,556.93,1833.8118530000004,1
Toaster,Cat2,5.28,8.21,5.71,4.22,5.3,5.35,8.2,2.96,1.01,570.26,1452.148831,0
iPhone 11,Cat3,8.19,1.22,7.6,5.0,2.05,3.81,1.51,5.12,6.45,810.44,1899.7357550000004,1
TV,Cat4,5.3,2.17,3.22,8.79,2.51,3.78,5.43,2.57,4.56,434.3,1954.174746,1
TV,Cat4,1.04,4.1,6.45,5.99,8.72,5.94,7.89,0.19,9.02,399.28,1519.724132,0
Iron,Cat2,2.44,0.57,5.36,2.69,6.2,1.2,3.23,8.27,2.96,407.52,1003.1465660000001,0
Smartphone,Cat3,2.06,3.8,5.31,7.08,4.21,2.42,7.48,3.45,9.42,388.02,1659.096692,0
Fridge,Cat1,7.43,7.08,8.98,4.22,3.69,6.25,6.55,1.11,9.12,850.46,1849.221512,1
Iron,Cat2,4.96,7.99,5.36,0.7,5.24,8.34,5.38,4.67,2.55,535.72,858.2188650000002,0
Laptop,Cat3,8.25,9.36,6.58,6.89,8.98,6.14,2.17,9.95,7.8,763.54,2121.74293,1
Smartphone,Cat3,1.51,1.27,8.84,0.22,6.88,4.97,3.01,7.33,8.27,548.77,845.3132869999998,0
Laptop,Cat3,1.96,9.75,8.76,5.99,6.44,6.9,2.48,0.75,6.35,571.48,1769.168765,1
Air Conditioner,Cat1,1.79,5.06,1.9,6.77,1.67,3.66,6.51,1.13,6.95,192.75,1319.2700449999998,0
iPhone 11,Cat3,7.32,0.73,7.13,9.42,5.82,8.25,6.8,4.4,9.11,742.36,2492.6362209999998,1
Laptop,Cat3,4.1,8.17,1.25,9.0,5.39,3.73,5.56,4.56,8.05,273.26,1758.5128149999998,1
Iron,Cat2,3.9,8.03,1.69,0.38,4.0,7.88,1.41,2.71,6.24,286.99,445.57621399999994,0
iPhone 11,Cat3,4.33,6.48,9.09,8.88,5.92,9.22,2.23,2.41,6.06,703.78,2387.7514160000005,1
Iron,Cat2,4.78,3.48,2.83,0.28,0.9,8.3,1.59,4.46,1.06,388.67,572.6186660000001,0
Toaster,Cat2,0.16,1.98,0.64,7.09,4.8,2.02,7.32,5.1,0.63,43.39,1162.8472629999999,0
Tablet,Cat3,2.04,4.63,8.04,5.17,6.57,5.09,0.97,6.88,4.87,533.87,1583.7874969999998,0
Laptop,Cat3,1.7,2.54,8.9,6.01,2.43,3.71,1.23,0.91,5.86,561.96,1760.447246,1
Washing Machine,Cat1,7.76,7.0,0.64,8.2,7.87,5.93,6.02,8.26,5.52,419.82,1811.044922,1
Washing Machine,Cat1,6.68,8.23,4.5,1.67,6.14,3.54,9.07,3.17,5.23,574.21,1045.6747129999999,0
Toaster,Cat2,4.15,6.14,3.66,5.75,2.49,2.47,0.62,5.38,4.63,403.62,1450.993373,0
Audio Equipment,Cat4,4.88,6.73,3.64,3.84,1.85,8.21,7.1,9.72,1.46,438.85,1199.4122360000001,0
Washing Machine,Cat1,3.89,3.47,5.69,8.27,4.01,0.36,1.91,0.23,2.35,498.07,1987.324405,1
Monitor,Cat4,5.95,6.34,2.38,6.85,0.34,2.27,1.41,2.72,3.79,423.56,1629.5594890000002,0
Iron,Cat2,2.85,7.97,5.84,3.55,7.25,8.76,7.17,1.5,4.25,457.78,1208.072045,0
Toaster,Cat2,3.19,1.2,6.26,6.71,3.19,0.66,7.02,2.86,2.91,492.91,1746.202311,0
Microwave Oven,Cat2,5.53,5.91,8.85,9.04,3.08,1.23,0.65,6.41,1.97,749.37,2466.6477569999993,1
iPhone 11,Cat3,5.33,8.27,4.29,4.06,4.72,1.79,2.72,3.24,7.47,496.6,1315.2936369999998,0
Fridge,Cat1,5.6,3.09,8.6,8.41,7.24,6.82,7.53,2.71,2.22,737.96,2350.739592000001,1
Vacuum Cleaner,Cat2,2.9,0.57,2.39,6.35,2.82,6.77,8.13,0.38,1.5,271.05,1358.5545200000001,0
Laptop,Cat3,5.27,9.55,8.49,5.17,0.53,1.11,7.71,5.32,5.26,719.35,1825.007676,1
Fridge,Cat1,5.05,2.33,8.43,4.89,5.22,6.1,7.46,4.86,5.54,701.35,1756.4934139999996,1
Tablet,Cat3,3.69,0.88,8.04,9.04,6.15,1.18,9.52,0.21,4.86,612.72,2282.3209959999995,1
Tablet,Cat3,9.14,4.61,4.4,5.86,4.51,8.66,4.1,3.01,4.73,687.73,1836.1851629999999,1
Laptop,Cat3,4.56,8.73,8.44,4.16,9.71,0.5,3.26,9.54,4.78,681.43,1619.712998,0
iPhone 11,Cat3,0.38,6.27,3.68,7.41,2.92,4.6,5.75,8.44,4.78,219.57,1476.445658,0
Iron,Cat2,6.62,3.93,9.7,6.34,3.79,6.29,3.49,8.72,7.78,847.44,2182.9181080000003,1
Laptop,Cat3,3.82,5.02,1.02,4.37,6.68,5.56,2.09,1.9,7.56,245.43,1001.9142560000001,0
Air Conditioner,Cat1,1.58,4.2,7.49,1.46,7.6,7.32,2.45,2.51,6.16,481.61,935.3559060000001,0
TV,Cat4,6.7,8.45,5.18,7.55,3.44,4.25,5.2,8.85,1.09,611.73,2013.5487290000003,1
Tablet,Cat3,4.26,5.87,2.25,4.44,1.7,7.86,7.04,5.54,5.94,333.41,1140.5381740000003,0
Microwave Oven,Cat2,9.43,9.89,5.72,4.57,2.22,0.66,6.39,6.86,1.37,775.55,1765.884637,1
iPhone 11,Cat3,2.55,8.44,4.66,7.42,0.99,4.03,2.96,2.81,9.75,379.91,1693.873735,0
Stove,Cat1,7.82,7.62,6.05,4.34,1.21,3.96,4.45,2.35,9.37,712.87,1655.0428470000002,0
Fridge,Cat1,9.16,8.61,1.07,5.01,2.99,4.15,0.32,2.66,0.9,512.47,1439.5221800000002,0
Washing Machine,Cat1,6.45,5.61,4.62,3.75,4.44,5.72,7.22,5.32,9.21,567.85,1361.071701,0
iPhone 11,Cat3,2.45,2.73,1.5,0.61,8.33,8.27,8.35,8.45,8.36,202.59,371.092736,0
Laptop,Cat3,6.41,7.48,6.22,1.56,9.95,4.56,4.92,8.01,7.71,652.75,1150.5594210000002,0
Fridge,Cat1,3.85,5.62,3.39,5.91,6.03,3.69,9.71,5.88,8.52,374.19,1435.044322,0
Speaker,Cat4,3.03,9.64,1.83,1.55,0.86,1.36,5.5,7.61,3.64,252.5,585.6475540000001,0
Washing Machine,Cat1,4.51,2.51,1.74,4.05,6.7,1.61,7.8,2.28,7.82,316.4,1050.969452,0
Monitor,Cat4,6.37,9.74,8.51,2.0,0.37,0.64,2.44,8.75,6.84,774.57,1403.586994,0
Audio Equipment,Cat4,6.78,9.86,5.29,5.67,7.9,6.57,7.43,6.17,4.77,622.47,1737.534157,0
Toaster,Cat2,3.57,6.23,1.71,1.79,7.85,9.69,9.14,0.87,5.94,270.9,643.7924539999999,0
Iron,Cat2,1.1,8.04,9.36,5.62,6.2,6.16,5.6,8.47,1.29,560.38,1705.5056189999998,0
Fridge,Cat1,3.12,5.3,2.4,8.36,4.08,0.98,8.01,7.31,3.23,285.01,1688.8991529999998,0
Monitor,Cat4,1.71,8.67,9.78,0.62,9.53,7.07,6.89,3.84,2.52,613.28,1003.035802,0
Monitor,Cat4,0.5,4.78,9.61,6.33,7.79,3.69,4.82,8.67,6.81,542.4,1795.447521,1
iPhone 11,Cat3,7.52,6.5,7.15,4.59,7.65,6.88,3.08,1.15,7.77,756.57,1763.4209269999997,1
Iron,Cat2,6.38,6.29,1.66,1.49,5.59,1.88,4.31,5.82,7.32,406.15,767.1780720000002,0
Tablet,Cat3,9.66,5.16,0.77,8.93,0.71,2.78,3.95,2.1,3.23,518.93,2050.5005429999997,1
Fridge,Cat1,7.37,9.89,4.93,7.98,9.57,5.84,7.45,9.76,1.14,632.2,2103.049274,1
Microwave Oven,Cat2,6.59,0.31,2.52,5.07,5.11,8.96,3.7,8.57,3.74,459.25,1399.3026439999999,0
Vacuum Cleaner,Cat2,6.01,7.23,9.0,7.95,1.0,9.78,4.82,0.56,4.81,781.88,2341.139241,1
Laptop,Cat3,1.96,8.29,6.03,3.8,4.57,8.03,9.28,2.39,4.65,424.36,1207.291745,0
Speaker,Cat4,0.24,5.69,1.38,4.49,7.2,2.1,5.95,2.91,2.77,89.13,828.294807,0
Audio Equipment,Cat4,5.73,3.41,3.2,1.97,1.19,2.97,7.47,9.42,4.08,455.03,923.2872380000002,0
Iron,Cat2,9.9,0.11,6.82,1.28,8.82,5.01,6.98,6.09,5.09,852.15,1365.1511290000003,0
Microwave Oven,Cat2,4.53,8.2,1.44,8.12,2.86,2.49,5.23,6.67,2.0,304.53,1664.1066199999998,0
Smartphone,Cat3,5.85,8.15,1.67,0.58,1.55,5.74,5.46,3.28,3.15,381.72,595.9054950000001,0
Iron,Cat2,7.97,4.29,7.83,9.57,1.22,2.52,8.78,1.68,6.56,813.68,2616.0116760000005,1
Toaster,Cat2,6.63,3.79,4.3,4.87,7.75,4.47,6.11,4.74,6.73,558.53,1518.185723,0
Washing Machine,Cat1,3.19,3.84,6.8,4.64,1.87,5.37,4.67,1.0,7.5,523.42,1471.6986599999998,0
Speaker,Cat4,8.83,4.24,7.9,4.14,0.78,1.63,7.77,7.66,8.46,859.63,1833.272896,1
Smartphone,Cat3,9.69,5.4,0.37,6.91,1.59,0.69,5.58,6.93,7.18,499.08,1707.069858,0
Speaker,Cat4,2.15,8.22,6.0,6.67,5.73,2.59,6.06,5.09,2.06,431.97,1661.2358059999997,0
Monitor,Cat4,6.1,2.6,7.78,4.04,2.04,1.58,7.76,6.43,0.53,718.14,1637.2513230000002,0
Stove,Cat1,0.71,4.41,3.12,8.85,5.55,7.73,3.66,0.28,1.3,204.81,1673.07938,0
Speaker,Cat4,9.58,9.34,5.91,7.69,6.61,8.99,5.92,3.96,5.25,793.0,2273.9920950000005,1
Monitor,Cat4,1.7,6.7,7.28,6.12,8.93,5.6,3.54,6.2,6.66,477.67,1650.4522860000002,0
Stove,Cat1,1.7,4.93,5.2,1.57,4.43,5.72,9.66,0.56,3.86,365.15,775.019986,0
iPhone 11,Cat3,0.48,9.25,4.65,1.47,1.89,1.61,7.45,3.85,5.52,278.09,643.2361520000001,0
Fridge,Cat1,2.09,4.56,4.32,7.97,5.69,8.68,9.76,1.2,0.53,337.02,1719.691633,0
Toaster,Cat2,2.44,9.92,8.96,5.52,4.57,4.34,5.82,1.8,8.89,605.81,1742.3656089999997,0
iPhone 11,Cat3,6.06,9.74,6.63,5.52,7.06,5.8,8.18,3.27,9.8,658.79,1778.03043,1
Speaker,Cat4,1.56,4.5,1.58,4.11,1.12,0.82,4.93,5.01,4.44,163.92,866.1468540000002,0
Audio Equipment,Cat4,8.43,1.49,0.14,5.84,2.32,7.78,0.24,2.51,5.25,422.75,1440.924935,0
Air Conditioner,Cat1,6.01,3.25,0.5,2.1,7.18,4.38,8.44,8.33,6.69,324.14,742.108219,0
iPhone 11,Cat3,0.96,2.57,8.17,7.33,6.51,2.45,0.43,6.54,7.09,486.54,1860.1050189999999,1
Monitor,Cat4,3.69,0.2,6.68,2.39,8.21,8.85,8.64,4.64,0.32,539.63,1141.057462,0
Microwave Oven,Cat2,7.61,9.58,4.86,7.98,7.27,9.55,8.49,3.33,8.6,640.1,2112.0397400000006,1
Monitor,Cat4,0.71,4.93,1.01,6.83,9.76,2.14,2.99,7.33,1.88,92.0,1189.467858,0
Fridge,Cat1,8.45,7.74,7.38,0.25,8.78,5.62,2.28,6.98,8.21,815.29,1168.175621,0
Audio Equipment,Cat4,2.47,2.29,3.36,0.67,8.14,0.73,3.84,8.74,6.08,302.84,531.5690179999999,0
Iron,Cat2,5.92,3.56,6.1,4.19,6.04,6.77,6.1,9.34,6.64,619.98,1514.406014,0
Microwave Oven,Cat2,4.89,9.34,1.15,9.63,6.66,5.61,5.35,7.97,9.78,307.44,1898.247098,1
TV,Cat4,4.94,5.03,7.89,3.02,7.59,2.33,2.19,7.52,3.96,668.52,1418.511246,0
Stove,Cat1,0.53,3.78,1.36,4.76,2.34,6.57,4.59,3.45,8.02,101.23,884.7361619999999,0
Washing Machine,Cat1,3.89,3.1,9.72,7.31,5.07,4.18,2.11,0.29,0.74,713.87,2164.750464,1
TV,Cat4,2.55,1.87,4.96,3.69,0.43,9.99,7.6,3.32,1.7,392.32,1134.0252400000004,0
Toaster,Cat2,3.98,6.37,0.54,2.82,4.23,8.8,2.16,2.63,7.16,228.37,734.052566,0
TV,Cat4,0.57,7.23,2.11,6.51,3.87,7.09,5.64,2.42,0.75,145.39,1222.5471450000002,0
Iron,Cat2,7.06,6.74,6.03,5.64,5.4,5.2,7.57,4.75,0.28,674.03,1807.1269179999997,1
Laptop,Cat3,3.67,8.12,3.89,7.17,4.43,3.64,8.16,1.55,8.09,393.54,1661.9972389999998,0
iPhone 11,Cat3,7.1,9.36,2.91,2.5,5.57,1.12,5.99,2.4,8.04,510.25,1072.519104,0
Air Conditioner,Cat1,2.85,1.77,3.6,8.37,7.67,8.27,7.79,8.63,9.68,334.2,1767.8628079999999,1
Microwave Oven,Cat2,0.53,9.91,7.01,1.12,3.02,8.9,7.8,9.88,1.87,407.53,784.1559869999999,0
Speaker,Cat4,0.55,7.08,7.25,4.74,7.08,2.57,3.21,4.58,4.92,419.69,1363.0410020000002,0
TV,Cat4,3.88,6.29,8.05,3.56,5.13,1.57,4.04,1.12,2.04,625.68,1450.5816939999997,0
Tablet,Cat3,1.9,3.06,6.84,4.96,6.43,8.74,2.8,2.08,1.34,461.86,1443.9911339999999,0
Smartphone,Cat3,6.26,1.21,5.67,3.58,2.32,6.85,9.45,1.89,0.36,612.25,1403.8264159999999,0
Vacuum Cleaner,Cat2,5.41,5.87,6.61,9.21,7.35,8.06,5.66,7.44,6.66,623.61,2304.4456860000005,1
Vacuum Cleaner,Cat2,4.87,8.18,3.14,8.78,7.23,3.76,6.54,3.13,6.8,412.39,1925.2937699999998,1
Audio Equipment,Cat4,0.8,8.34,4.4,0.9,3.74,9.03,3.21,8.29,7.45,280.06,553.852445,0
iPhone 11,Cat3,2.2,3.51,5.58,5.73,9.18,1.88,0.17,9.91,7.9,409.26,1480.1243400000003,0
Microwave Oven,Cat2,1.88,7.88,2.98,8.51,3.47,1.97,0.55,7.78,3.8,256.65,1684.6337899999999,0
Audio Equipment,Cat4,9.41,5.67,9.03,4.7,0.71,6.63,4.11,2.25,8.77,949.59,2049.025017,1
Iron,Cat2,1.78,0.85,0.66,8.24,7.6,5.83,1.09,6.0,0.36,123.53,1442.187806,0
Vacuum Cleaner,Cat2,0.2,4.67,2.81,3.48,3.75,0.62,0.83,7.82,4.14,163.13,783.9682939999999,0
Smartphone,Cat3,2.26,5.16,7.42,6.97,7.02,6.61,3.32,9.65,5.7,511.8,1826.8058499999995,1
Iron,Cat2,3.0,9.07,7.14,6.5,6.21,2.66,4.6,9.39,9.62,535.31,1780.740392,1
Air Conditioner,Cat1,1.89,6.16,5.48,2.2,8.5,7.97,3.65,4.4,1.25,390.29,908.3851350000001,0
Tablet,Cat3,3.5,8.8,4.67,8.12,7.59,6.79,6.13,1.46,4.84,427.47,1862.669114,1
TV,Cat4,0.52,7.51,4.97,7.75,3.71,3.1,7.7,1.55,0.37,296.26,1643.4606670000003,0
Smartphone,Cat3,4.61,2.56,7.39,2.45,8.34,5.44,4.58,4.28,4.55,624.17,1266.989895,0
Stove,Cat1,3.19,2.17,8.67,4.89,6.45,8.21,6.92,1.86,5.17,622.78,1660.5376669999996,0
Toaster,Cat2,1.74,4.28,1.52,0.67,8.14,7.79,4.36,6.89,4.95,169.65,339.393075,0
Air Conditioner,Cat1,5.63,9.95,4.34,2.8,1.02,7.05,4.06,1.25,7.27,515.02,1144.356707,0
Smartphone,Cat3,5.52,1.34,2.09,6.15,4.36,3.68,2.38,1.08,5.65,384.11,1466.2852849999997,0
Tablet,Cat3,2.13,8.24,3.79,8.37,0.71,9.77,4.77,4.5,6.05,312.64,1744.634535,0
Fridge,Cat1,8.07,5.86,2.15,6.11,3.93,8.55,1.38,2.17,2.77,515.3,1627.483237,0
Microwave Oven,Cat2,3.8,5.42,4.35,0.5,6.94,0.55,0.78,2.49,5.54,423.01,670.7594539999999,0
Toaster,Cat2,2.38,5.72,7.12,6.47,1.08,3.16,9.69,5.4,8.9,501.79,1732.82109,0
Vacuum Cleaner,Cat2,1.85,0.76,8.53,1.23,6.7,9.09,8.23,8.8,0.48,548.65,997.5477779999999,0
Air Conditioner,Cat1,8.88,4.29,4.56,5.93,3.85,1.98,7.64,7.12,6.12,683.21,1843.3937920000003,1
TV,Cat4,0.27,0.51,7.67,8.02,1.15,7.82,6.04,3.85,6.86,424.69,1881.957976,1
Monitor,Cat4,7.05,2.98,9.29,5.77,2.74,5.99,7.44,6.32,8.21,846.03,2087.127051,1
Vacuum Cleaner,Cat2,6.16,1.41,0.88,9.47,0.99,4.48,7.76,9.66,3.42,350.73,1922.6776020000004,1
Laptop,Cat3,8.31,1.67,0.35,1.17,2.22,9.78,9.42,0.87,0.62,428.24,726.9849119999999,0
Stove,Cat1,2.78,7.26,2.85,9.69,6.01,5.13,9.84,8.74,7.02,293.64,1912.4794719999998,1
Microwave Oven,Cat2,5.37,8.36,7.7,9.79,7.73,1.12,1.41,2.47,6.85,681.35,2482.2331150000005,1
TV,Cat4,6.02,7.52,0.46,8.82,3.97,3.12,8.98,6.32,1.98,324.87,1785.0453380000001,1
Laptop,Cat3,2.15,6.73,8.28,7.88,3.57,4.42,4.8,2.05,1.79,553.28,2032.0475490000001,1
Stove,Cat1,0.51,8.1,7.58,8.14,5.96,5.45,4.15,7.94,9.65,436.03,1915.356715,1
Audio Equipment,Cat4,9.27,4.58,0.42,5.63,7.23,0.62,6.59,1.16,7.94,480.73,1485.994954,0
iPhone 11,Cat3,2.16,9.32,9.01,2.08,1.7,6.17,4.62,7.48,7.3,594.38,1195.2968200000003,0
Monitor,Cat4,6.91,7.6,5.22,4.39,2.55,4.97,0.33,7.19,9.22,623.71,1539.146362,0
Tablet,Cat3,9.67,0.78,5.3,6.75,9.37,6.74,8.51,0.35,7.74,759.83,2076.326024,1
Fridge,Cat1,0.8,3.45,5.03,1.86,8.38,3.61,6.84,1.97,3.49,310.98,748.9658090000001,0
Smartphone,Cat3,0.23,1.92,5.6,7.18,5.86,1.08,1.77,7.85,8.29,312.56,1582.7707389999998,0
