Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Metals,Avg_Metal_Value,Profit_per_Metal,Precious_Ratio,Recovery_Status
Washing Machine,0,5.7,0.11,8.97,7.12,3.04,5.11,8.31,5.68,9.62,760.9,47.849999999999994,6.8357142857142845,15.901776384535006,0.33625914315569494,1
Audio Equipment,3,4.72,7.85,7.59,0.29,6.13,4.36,2.96,3.14,2.51,643.27,26.980000000000004,3.854285714285715,23.842475908080054,0.29206819866567824,1
Toaster,1,3.06,1.79,8.12,9.48,1.45,4.19,6.6,9.22,6.17,586.56,45.230000000000004,6.461428571428572,12.968383816051292,0.38912226398408134,1
Microwave Oven,1,3.81,4.86,1.1,6.03,0.82,9.51,1.05,8.09,7.03,249.12,33.63,4.804285714285714,7.407671721677073,0.21201308355634851,0
Air Conditioner,0,1.72,0.62,9.02,4.4,6.92,0.12,6.39,6.01,4.85,568.27,37.71,5.387142857142857,15.069477592150623,0.3558737735348714,1
Microwave Oven,1,8.59,9.37,6.31,2.23,2.74,0.43,2.38,9.78,6.85,765.59,30.72,4.388571428571429,24.921549479166668,0.27799479166666663,1
Tablet,2,6.37,4.59,6.51,4.11,5.59,7.16,3.87,9.7,1.52,664.65,38.46,5.494285714285715,17.281591263650544,0.2761310452418097,1
Air Conditioner,0,7.52,9.06,9.92,9.05,9.92,5.86,9.53,5.36,8.69,906.47,58.33,8.332857142857142,15.540373735642037,0.3252185839190811,1
Vacuum Cleaner,1,0.29,2.04,2.23,2.79,9.68,4.35,2.57,6.55,8.03,135.12,36.199999999999996,5.171428571428571,3.7325966850828736,0.1386740331491713,0
Stove,0,8.42,4.16,7.06,7.34,4.35,7.73,7.06,5.6,3.97,794.6,43.11,6.158571428571428,18.431918348411042,0.33402922755741127,1
Audio Equipment,3,0.21,8.33,9.95,7.17,9.9,8.93,8.5,5.7,3.07,548.53,53.22,7.602857142857142,10.30683953400977,0.32168357760240507,1
TV,3,4.82,0.26,5.14,9.68,1.5,9.94,5.51,5.35,3.82,512.6,40.94,5.848571428571428,12.52076209086468,0.3619931607230093,1
Tablet,2,1.44,5.92,6.09,5.64,6.91,0.12,0.49,2.7,2.35,400.56,24.3,3.4714285714285715,16.48395061728395,0.48271604938271606,1
Laptop,2,6.86,3.83,9.91,4.56,6.47,0.97,9.31,6.46,6.22,870.36,43.9,6.271428571428571,19.82596810933941,0.32961275626423686,1
Microwave Oven,1,7.84,7.83,6.49,6.72,6.15,8.13,7.32,8.91,4.86,737.69,48.58,6.9399999999999995,15.185055578427338,0.2719226018937835,1
Audio Equipment,3,2.71,3.27,3.48,8.18,5.61,8.92,2.15,4.83,5.73,321.74,38.89999999999999,5.557142857142856,8.270951156812341,0.2997429305912597,1
Vacuum Cleaner,1,8.3,5.15,8.26,0.88,4.29,6.07,1.57,1.53,7.9,853.53,30.5,4.357142857142857,27.984590163934424,0.299672131147541,1
Speaker,3,2.75,8.48,3.74,1.66,9.02,7.97,7.0,1.82,0.55,340.65,31.76,4.537142857142857,10.725755667506297,0.17002518891687657,1
Fridge,0,9.47,9.62,3.12,2.51,5.9,5.27,1.98,6.09,4.24,638.18,29.11,4.158571428571428,21.923050498110612,0.19340432840948127,1
Stove,0,1.42,1.18,1.05,7.32,9.88,2.86,0.51,3.72,4.01,126.9,29.35,4.192857142857143,4.3236797274275975,0.2851788756388416,0
Washing Machine,0,6.41,5.54,7.9,8.44,1.2,4.7,8.92,4.84,1.73,741.53,37.73,5.39,19.653591306652533,0.433077126954678,1
Speaker,3,8.42,7.41,9.56,6.62,5.07,5.65,9.33,2.11,1.21,930.38,39.55,5.6499999999999995,23.52414664981037,0.40910240202275605,1
Air Conditioner,0,2.7,2.56,7.58,5.1,4.12,9.12,1.54,5.93,3.79,540.51,37.18,5.311428571428571,14.537654653039269,0.3410435718128026,1
Air Conditioner,0,5.49,2.17,3.43,4.91,1.93,9.84,6.01,9.85,3.47,454.99,39.44,5.634285714285714,11.536257606490873,0.21146044624746452,1
Stove,0,6.3,9.15,9.93,6.4,6.68,7.45,0.42,6.13,4.58,847.09,41.589999999999996,5.941428571428571,20.36763645106997,0.3926424621303198,1
Microwave Oven,1,9.88,3.36,5.99,6.6,0.74,2.37,6.37,0.98,2.08,808.39,25.130000000000003,3.5900000000000003,32.1683247115002,0.5009948269001193,1
Smartphone,2,5.24,5.5,7.92,5.49,3.18,4.7,8.46,1.44,4.41,685.12,35.6,5.085714285714286,19.24494382022472,0.376685393258427,1
Microwave Oven,1,5.54,7.64,5.69,0.86,0.51,9.06,1.95,1.92,5.67,581.64,25.660000000000004,3.6657142857142864,22.667186282151203,0.25526110678098207,1
Microwave Oven,1,3.34,7.49,2.53,2.01,0.8,1.45,9.76,7.68,1.04,304.0,25.269999999999996,3.6099999999999994,12.030075187969926,0.17965967550455084,1
Iron,1,3.17,8.18,3.58,2.58,9.29,4.66,4.94,7.03,1.63,352.48,33.71,4.815714285714286,10.45624443785227,0.18273509344408187,1
iPhone 11,2,2.86,8.68,7.98,9.32,8.76,5.32,7.92,8.0,6.24,573.3,53.540000000000006,7.6485714285714295,10.707881957415015,0.3231228987672768,1
Audio Equipment,3,5.85,5.05,7.33,1.6,3.7,4.86,2.1,4.11,0.67,683.23,24.37,3.4814285714285718,28.035699630693475,0.36643414033647925,1
Tablet,2,7.19,5.49,0.52,7.2,5.77,8.98,9.22,3.27,8.74,384.54,43.7,6.242857142857143,8.79954233409611,0.17665903890160184,1
Laptop,2,2.8,1.64,5.19,3.43,7.49,1.53,5.81,9.44,3.24,416.74,36.13,5.161428571428572,11.534458898422363,0.2385828951010241,1
Washing Machine,0,4.72,0.76,7.01,2.37,5.93,8.27,4.04,3.64,3.01,608.2,34.269999999999996,4.895714285714285,17.747300846221187,0.27370878319229647,1
TV,3,6.75,7.04,5.06,3.21,1.6,6.95,8.28,9.88,2.85,606.97,37.830000000000005,5.404285714285715,16.0446735395189,0.218609569125033,1
Iron,1,7.59,7.55,8.78,0.85,5.31,2.37,3.47,8.54,5.8,847.83,35.12,5.017142857142857,24.14094533029613,0.27420273348519364,1
Speaker,3,8.25,8.0,7.16,1.73,6.32,6.62,4.48,5.74,3.4,793.81,35.45,5.064285714285715,22.392383638928063,0.25077574047954865,1
Toaster,1,7.35,6.83,6.73,5.42,4.22,3.37,8.34,8.87,7.78,725.79,44.730000000000004,6.390000000000001,16.22602280348759,0.2716297786720322,1
Microwave Oven,1,5.45,2.76,7.53,7.19,8.05,5.75,7.42,4.98,6.51,673.06,47.43,6.775714285714286,14.190596668775036,0.3103520978283787,1
Toaster,1,8.06,9.5,4.22,1.9,5.49,6.22,6.04,9.62,3.92,627.78,37.41,5.344285714285713,16.781074578989575,0.1635926222935044,1
Speaker,3,7.53,8.79,3.0,9.89,8.72,1.79,7.31,2.35,0.95,535.93,34.01,4.8585714285714285,15.758012349309027,0.3790061746545134,1
Iron,1,5.0,9.26,9.74,8.66,5.29,3.59,8.74,3.65,8.52,773.01,48.19,6.884285714285714,16.04087985059141,0.38182195476239883,1
TV,3,5.79,0.16,2.3,9.18,7.38,5.67,5.38,7.73,3.75,408.03,41.39,5.912857142857143,9.858178303938148,0.27736168156559554,1
Iron,1,2.39,8.4,8.09,1.35,1.9,0.25,3.66,0.62,2.43,555.75,18.3,2.6142857142857143,30.36885245901639,0.5158469945355191,1
Audio Equipment,3,7.04,3.5,0.82,5.42,4.22,4.82,7.06,3.26,1.02,392.01,26.62,3.802857142857143,14.726145755071373,0.23441021788129227,1
Vacuum Cleaner,1,8.26,4.86,5.84,8.0,9.15,4.15,2.9,1.5,0.79,721.77,32.33,4.618571428571428,22.325085060315498,0.4280853696257346,1
Stove,0,7.92,7.09,5.65,0.31,1.37,3.13,3.45,5.19,2.04,696.03,21.14,3.02,32.9247871333964,0.28192999053926204,1
Tablet,2,5.62,8.29,8.5,9.29,1.03,3.68,5.85,3.41,1.88,736.42,33.64,4.805714285714286,21.89120095124851,0.5288347205707491,1
iPhone 11,2,9.44,2.05,2.75,6.16,4.64,5.85,5.87,3.88,2.94,612.54,32.089999999999996,4.584285714285714,19.088189467123716,0.27765659083826744,1
Smartphone,2,8.33,7.37,2.78,4.67,7.2,8.16,0.88,0.19,2.51,562.73,26.39,3.77,21.323607427055702,0.2823039029935581,1
Toaster,1,2.54,5.95,4.51,2.15,0.41,3.14,9.88,7.8,0.33,369.93,28.220000000000002,4.031428571428572,13.108788093550672,0.2360028348688873,1
Monitor,3,9.99,0.97,5.7,4.29,5.13,1.71,8.02,4.35,3.02,796.94,32.220000000000006,4.602857142857144,24.734326505276222,0.31005586592178763,1
Speaker,3,0.62,8.04,3.04,4.32,9.54,7.76,5.52,0.44,2.13,198.24,32.75,4.678571428571429,6.053129770992367,0.22473282442748094,0
iPhone 11,2,5.46,7.95,5.9,5.49,8.91,3.49,1.1,6.95,1.89,589.16,33.73,4.8185714285714285,17.466943373851173,0.33768158908983104,1
Fridge,0,0.77,4.39,4.94,7.61,8.44,1.49,8.42,4.45,3.63,305.19,38.980000000000004,5.568571428571429,7.82939969214982,0.32195997947665467,1
Laptop,2,0.92,7.04,1.92,2.71,2.51,0.91,0.32,3.21,0.34,152.17,11.919999999999998,1.7028571428571426,12.765939597315437,0.38842281879194634,0
Vacuum Cleaner,1,10.0,7.85,1.92,7.31,9.93,2.39,4.97,4.87,3.02,598.92,34.410000000000004,4.915714285714286,17.405405405405403,0.26823597791339726,1
Washing Machine,0,4.82,8.35,3.22,6.79,4.48,9.0,2.34,2.59,7.03,414.38,35.45,5.064285714285715,11.689139633286318,0.28236953455571223,1
Tablet,2,4.06,9.28,3.49,5.47,1.07,6.89,1.71,1.62,6.12,391.95,26.370000000000005,3.767142857142858,14.863481228668938,0.33978005309063325,1
iPhone 11,2,2.61,5.24,0.93,5.02,8.28,5.43,5.28,7.38,3.34,181.29,35.66,5.094285714285713,5.083847448121144,0.16685361749859787,0
Laptop,2,6.3,1.6,9.3,9.08,7.37,3.52,6.82,4.76,5.82,808.95,46.67,6.667142857142857,17.333404756803088,0.3938290122134134,1
Laptop,2,8.36,2.57,9.58,0.98,6.28,2.74,8.98,0.72,8.27,925.69,37.55,5.364285714285714,24.652197070572573,0.2812250332889481,1
Toaster,1,2.63,5.34,7.2,8.2,3.25,0.21,2.67,7.89,7.62,518.12,37.04,5.291428571428571,13.988120950323975,0.4157667386609071,1
Fridge,0,8.82,6.57,3.98,4.59,9.91,8.53,3.5,1.92,2.11,650.69,34.54,4.934285714285714,18.838737695425596,0.24811812391430227,1
TV,3,8.62,4.91,3.01,6.13,9.54,2.94,4.34,5.18,9.97,587.83,41.11,5.872857142857143,14.298954025784482,0.22233033325225007,1
Audio Equipment,3,3.57,3.52,0.94,0.99,3.57,7.78,4.65,6.51,2.62,227.99,27.06,3.8657142857142857,8.425351071692535,0.0713229859571323,0
TV,3,8.69,2.88,4.68,4.3,5.03,2.74,4.53,7.98,2.93,679.52,32.190000000000005,4.59857142857143,21.109661385523452,0.27896862379620996,1
iPhone 11,2,1.78,5.76,10.0,4.37,1.25,7.11,4.64,0.79,8.82,626.72,36.980000000000004,5.282857142857144,16.94753921038399,0.3885884261763115,1
Laptop,2,8.92,8.97,3.27,1.2,9.97,1.15,7.32,9.83,4.15,618.8,36.89,5.2700000000000005,16.774193548387096,0.12117104906478719,1
Washing Machine,0,6.6,3.56,8.83,4.81,6.39,0.3,1.77,3.28,4.58,799.55,29.96,4.28,26.687249666221625,0.4552736982643525,1
Iron,1,3.8,0.85,6.71,7.53,1.15,8.54,0.47,2.18,5.76,546.91,32.339999999999996,4.619999999999999,16.91125541125541,0.4403215831787261,1
Iron,1,4.24,0.65,6.21,4.19,1.18,2.6,6.49,1.49,3.09,541.51,25.25,3.607142857142857,21.445940594059405,0.4118811881188119,1
Vacuum Cleaner,1,4.22,4.99,7.43,6.38,8.66,2.76,3.3,1.04,6.8,608.49,36.37,5.195714285714286,16.730547154248008,0.37970855100357437,1
Toaster,1,1.91,6.21,3.04,8.38,8.65,5.69,2.52,5.73,0.61,260.52,34.620000000000005,4.945714285714287,7.525129982668976,0.3298671288272675,0
Iron,1,5.9,2.27,6.15,5.15,6.29,7.32,5.51,2.99,2.84,620.95,36.25,5.178571428571429,17.129655172413795,0.3117241379310345,1
Washing Machine,0,0.13,3.95,4.41,2.68,8.66,9.89,4.19,1.6,4.11,245.25,35.540000000000006,5.077142857142858,6.900675295441754,0.19949352841868315,0
Iron,1,6.29,5.47,2.05,1.38,5.69,3.2,5.92,7.16,2.89,422.18,28.290000000000003,4.041428571428572,14.923294450335806,0.12124425592082005,1
iPhone 11,2,0.96,2.6,4.41,1.9,2.77,0.77,6.71,1.12,6.97,285.01,24.65,3.5214285714285714,11.562271805273834,0.25598377281947265,0
Tablet,2,5.96,2.17,8.78,7.44,7.1,0.64,2.35,1.92,8.94,764.65,37.17,5.3100000000000005,20.571697605595908,0.43637341942426683,1
Air Conditioner,0,0.59,5.56,9.18,5.28,5.65,9.19,1.8,2.26,9.98,524.3,43.34,6.191428571428572,12.0973696354407,0.33364097831102907,1
Smartphone,2,5.83,4.17,4.03,6.35,2.19,7.86,4.9,4.07,5.1,504.96,34.5,4.928571428571429,14.636521739130433,0.3008695652173913,1
Microwave Oven,1,1.07,4.91,4.54,5.63,8.23,7.69,9.34,7.14,3.46,298.9,46.03,6.575714285714286,6.493591136215511,0.22094286334998914,0
Air Conditioner,0,3.78,3.07,8.52,2.29,1.56,0.28,3.75,4.14,6.9,644.03,27.439999999999998,3.9199999999999995,23.470481049562682,0.39395043731778423,1
Tablet,2,4.71,1.81,7.78,0.96,5.42,5.64,2.57,4.73,1.39,649.51,28.490000000000002,4.07,22.797823797823796,0.3067743067743068,1
Air Conditioner,0,3.54,5.95,1.75,5.38,3.6,5.16,0.83,3.98,9.99,271.26,30.689999999999998,4.384285714285714,8.838709677419356,0.23232323232323235,0
Stove,0,6.93,1.45,6.48,1.44,1.32,0.55,5.37,8.82,8.23,688.58,32.21,4.601428571428571,21.37783297112698,0.24588637069233157,1
Speaker,3,4.88,6.57,3.09,5.42,3.66,1.38,3.22,3.51,5.98,409.19,26.26,3.751428571428572,15.58225437928408,0.32406702208682403,1
Smartphone,2,1.25,6.28,4.87,9.88,9.78,1.55,8.23,4.58,5.53,326.12,44.42,6.345714285714286,7.341737955875732,0.3320576316974336,1
Fridge,0,0.51,2.91,2.97,0.26,2.69,2.18,3.63,7.47,5.4,185.94,24.6,3.5142857142857147,7.558536585365853,0.1313008130081301,0
Stove,0,1.86,3.67,6.54,8.08,9.72,1.63,5.41,8.61,3.24,444.08,43.230000000000004,6.175714285714286,10.272495951885263,0.3381910710154985,1
Laptop,2,7.1,1.18,2.74,9.79,4.99,5.47,4.82,5.84,4.2,496.53,37.85,5.4071428571428575,13.118361955085865,0.33104359313077936,1
TV,3,1.12,8.85,2.54,5.43,3.13,9.11,1.85,6.02,7.1,196.41,35.18,5.025714285714286,5.583001705514497,0.22654917566799318,0
Microwave Oven,1,3.85,4.39,0.23,3.7,5.31,2.54,5.66,3.92,0.85,204.13,22.21,3.172857142857143,9.190904997748762,0.1769473210265646,0
Vacuum Cleaner,1,9.32,9.3,5.48,9.71,9.09,2.8,2.49,0.85,2.01,757.08,32.43,4.632857142857143,23.34505087881591,0.4683934628430466,1
Laptop,2,2.43,5.26,4.92,2.33,9.69,5.17,4.82,1.21,9.53,386.26,37.67,5.381428571428572,10.253782851075126,0.192460844173082,1
Speaker,3,4.29,5.82,7.03,5.57,8.4,0.66,4.58,3.43,2.82,590.93,32.49,4.6414285714285715,18.18805786395814,0.3878116343490305,1
Vacuum Cleaner,1,4.53,5.73,0.51,2.35,5.36,5.66,7.61,0.29,4.77,253.38,26.55,3.792857142857143,9.543502824858757,0.10772128060263654,0
Stove,0,3.98,1.58,9.91,3.45,5.06,5.43,2.08,3.34,1.83,727.63,31.1,4.442857142857143,23.396463022508037,0.4295819935691318,1
Iron,1,1.68,9.91,2.52,6.97,8.53,8.99,2.05,8.53,8.06,223.54,45.65,6.521428571428571,4.896823658269441,0.20788608981380066,0
Audio Equipment,3,5.39,8.84,7.79,3.81,1.38,0.63,8.55,3.75,7.79,687.34,33.7,4.814285714285715,20.395845697329378,0.344213649851632,1
Speaker,3,2.88,1.53,7.44,5.64,8.9,2.41,3.16,8.34,1.3,541.2,37.19,5.312857142857142,14.552299005108903,0.35170744823877387,1
Audio Equipment,3,3.06,5.58,2.63,2.61,1.57,0.75,6.76,4.31,1.14,294.51,19.77,2.8242857142857143,14.896813353566008,0.265048052604957,0
Washing Machine,0,4.02,1.95,4.21,6.2,1.16,6.81,4.11,3.24,4.5,424.36,30.229999999999997,4.3185714285714285,14.037710883228582,0.3443599073767781,1
Tablet,2,5.14,8.19,7.23,7.64,6.24,1.27,3.07,0.98,1.05,644.75,27.48,3.9257142857142857,23.462518195050947,0.5411208151382824,1
Speaker,3,7.31,3.91,0.67,6.32,5.08,0.38,0.64,7.15,2.55,397.4,22.790000000000003,3.2557142857142862,17.43747257569109,0.3067134708205353,1
Tablet,2,7.28,6.78,8.9,1.47,0.2,9.04,1.15,1.5,6.93,838.64,29.189999999999998,4.17,28.73038711887633,0.35525865022267905,1
Speaker,3,5.95,6.88,6.41,7.34,7.13,9.78,9.66,8.78,8.22,640.04,57.31999999999999,8.188571428571427,11.16608513607816,0.2398813677599442,1
Vacuum Cleaner,1,9.71,4.62,2.5,0.95,3.54,7.49,5.8,8.85,6.62,613.9,35.75,5.107142857142857,17.172027972027973,0.0965034965034965,1
Iron,1,4.29,8.14,1.2,7.35,7.67,0.28,4.58,8.73,6.71,279.87,36.519999999999996,5.217142857142856,7.663472070098577,0.23411829134720702,0
Toaster,1,1.82,9.86,3.45,3.21,4.05,8.19,5.48,8.87,5.01,280.14,38.26,5.465714285714285,7.3220073183481444,0.17407213800313645,0
Smartphone,2,4.74,0.83,8.3,3.53,4.94,3.32,7.46,8.06,9.02,678.23,44.629999999999995,6.3757142857142854,15.196728657853464,0.2650683396818284,1
Air Conditioner,0,4.07,6.75,6.92,7.72,4.81,6.1,4.85,9.25,1.24,574.81,40.89,5.841428571428572,14.057471264367814,0.35803374908290536,1
Toaster,1,0.29,1.31,8.09,9.16,5.37,0.56,7.79,2.31,7.44,448.56,40.72,5.817142857142857,11.015717092337917,0.42362475442043224,1
Air Conditioner,0,8.61,9.69,5.6,9.02,3.99,1.8,6.99,9.72,6.71,728.76,43.83,6.261428571428572,16.626967830253253,0.33356148756559434,1
Tablet,2,4.95,4.87,1.58,2.47,4.53,5.95,9.48,2.68,2.15,330.85,28.84,4.12,11.471914008321777,0.14042995839112346,1
Smartphone,2,7.97,3.48,7.04,1.13,0.96,7.68,3.38,4.24,0.13,770.97,24.56,3.5085714285714285,31.391286644951144,0.33265472312703587,1
Monitor,3,7.17,8.05,7.89,4.13,7.24,3.63,0.66,8.68,9.06,779.84,41.29,5.898571428571429,18.88689755388714,0.29111164930976025,1
Toaster,1,4.13,3.42,1.08,4.26,2.98,0.58,2.72,3.51,3.39,262.81,18.52,2.6457142857142855,14.19060475161987,0.28833693304535635,0
Monitor,3,0.41,1.85,4.34,9.22,2.51,3.8,8.71,7.15,5.81,253.85,41.540000000000006,5.934285714285715,6.110977371208473,0.326432354357246,0
Air Conditioner,0,1.63,1.59,2.73,6.99,1.48,1.88,3.63,1.96,4.27,227.33,22.94,3.277142857142857,9.90976460331299,0.4237140366172624,0
Monitor,3,4.73,8.99,0.48,0.17,0.47,1.81,9.09,5.17,4.9,263.32,22.089999999999996,3.1557142857142852,11.920325939339069,0.02942507922136714,0
TV,3,3.25,9.91,1.56,8.22,3.84,4.58,5.82,9.1,0.82,249.1,33.940000000000005,4.84857142857143,7.339422510312315,0.2881555686505598,0
Monitor,3,2.74,4.86,1.74,5.74,8.31,2.11,1.35,5.27,6.37,230.8,30.890000000000004,4.412857142857144,7.471673680802848,0.24214956296536094,0
Audio Equipment,3,4.24,7.69,9.69,0.33,2.23,3.67,5.62,3.58,3.57,732.04,28.689999999999998,4.098571428571428,25.515510630881842,0.3492506099686302,1
Microwave Oven,1,5.36,3.2,4.55,9.22,5.14,9.32,3.62,8.55,4.81,509.24,45.21000000000001,6.45857142857143,11.263879672638796,0.30457863304578625,1
Air Conditioner,0,5.62,3.08,7.13,4.83,7.07,9.46,9.68,9.24,7.16,660.22,54.57000000000001,7.795714285714287,12.098588968297598,0.21916804104819496,1
Laptop,2,0.17,1.34,7.44,9.45,3.88,1.21,6.31,4.87,3.84,407.84,37.0,5.285714285714286,11.022702702702702,0.4564864864864865,1
Iron,1,6.01,5.11,9.33,0.5,6.04,4.11,6.47,6.64,8.51,798.31,41.599999999999994,5.942857142857142,19.19014423076923,0.23629807692307694,1
Smartphone,2,5.75,5.8,4.06,7.2,0.39,9.2,4.6,1.8,7.32,503.57,34.57000000000001,4.9385714285714295,14.566676308938382,0.3257159386751518,1
Washing Machine,0,0.83,0.21,1.24,6.43,2.79,4.72,0.58,6.78,0.75,107.47,23.29,3.327142857142857,4.614426792614856,0.3293258909403177,0
Washing Machine,0,9.61,4.93,9.29,4.59,6.05,1.5,3.54,3.05,7.57,972.9,35.59,5.0842857142857145,27.336330429896034,0.3899971902219724,1
Audio Equipment,3,6.51,7.73,9.27,0.58,8.56,2.92,2.05,6.11,9.6,821.17,39.089999999999996,5.584285714285714,21.007162957278076,0.2519826042466104,1
Vacuum Cleaner,1,4.21,1.53,0.53,9.59,2.12,9.16,2.3,9.84,4.25,236.34,37.79,5.398571428571429,6.254035459116168,0.2677957131516274,0
Air Conditioner,0,7.86,2.45,7.63,6.38,7.07,0.11,4.92,2.96,8.69,796.54,37.76,5.394285714285714,21.0948093220339,0.3710275423728814,1
Vacuum Cleaner,1,8.9,7.57,2.15,7.1,3.1,2.0,2.27,7.07,1.03,556.93,24.720000000000002,3.5314285714285716,22.529530744336565,0.37419093851132684,1
Toaster,1,5.28,8.21,5.71,4.22,5.3,5.35,8.2,2.96,1.01,570.26,32.75,4.678571428571429,17.412519083969464,0.303206106870229,1
iPhone 11,2,8.19,1.22,7.6,5.0,2.05,3.81,1.51,5.12,6.45,810.44,31.54,4.505714285714285,25.69562460367787,0.39949270767279643,1
TV,3,5.3,2.17,3.22,8.79,2.51,3.78,5.43,2.57,4.56,434.3,30.86,4.408571428571428,14.073233959818536,0.3891769280622165,1
TV,3,1.04,4.1,6.45,5.99,8.72,5.94,7.89,0.19,9.02,399.28,44.2,6.314285714285715,9.033484162895926,0.281447963800905,1
Iron,1,2.44,0.57,5.36,2.69,6.2,1.2,3.23,8.27,2.96,407.52,29.91,4.272857142857143,13.624874623871614,0.26914075560013373,1
Smartphone,2,2.06,3.8,5.31,7.08,4.21,2.42,7.48,3.45,9.42,388.02,39.370000000000005,5.6242857142857146,9.85572771145542,0.31470662941325883,1
Fridge,0,7.43,7.08,8.98,4.22,3.69,6.25,6.55,1.11,9.12,850.46,39.92,5.702857142857143,21.304108216432866,0.3306613226452905,1
Iron,1,4.96,7.99,5.36,0.7,5.24,8.34,5.38,4.67,2.55,535.72,32.239999999999995,4.605714285714285,16.6166253101737,0.18796526054590576,1
Laptop,2,8.25,9.36,6.58,6.89,8.98,6.14,2.17,9.95,7.8,763.54,48.50999999999999,6.929999999999999,15.739847454133171,0.27767470624613483,1
Smartphone,2,1.51,1.27,8.84,0.22,6.88,4.97,3.01,7.33,8.27,548.77,39.519999999999996,5.645714285714285,13.885880566801621,0.22925101214574903,1
Laptop,2,1.96,9.75,8.76,5.99,6.44,6.9,2.48,0.75,6.35,571.48,37.67,5.381428571428572,15.170692859039024,0.3915582691797186,1
Air Conditioner,0,1.79,5.06,1.9,6.77,1.67,3.66,6.51,1.13,6.95,192.75,28.589999999999996,4.084285714285714,6.7418677859391405,0.3032528856243442,0
iPhone 11,2,7.32,0.73,7.13,9.42,5.82,8.25,6.8,4.4,9.11,742.36,50.93,7.275714285714286,14.576084822305125,0.3249558217160809,1
Laptop,2,4.1,8.17,1.25,9.0,5.39,3.73,5.56,4.56,8.05,273.26,37.54,5.362857142857143,7.279168886521044,0.2730420884389984,0
Iron,1,3.9,8.03,1.69,0.38,4.0,7.88,1.41,2.71,6.24,286.99,24.310000000000002,3.4728571428571433,11.805429864253393,0.08515014397367338,0
iPhone 11,2,4.33,6.48,9.09,8.88,5.92,9.22,2.23,2.41,6.06,703.78,43.81,6.258571428571429,16.064368865555807,0.41018032412691163,1
Iron,1,4.78,3.48,2.83,0.28,0.9,8.3,1.59,4.46,1.06,388.67,19.42,2.7742857142857145,20.013903192584962,0.16014418125643667,1
Toaster,1,0.16,1.98,0.64,7.09,4.8,2.02,7.32,5.1,0.63,43.39,27.599999999999998,3.9428571428571426,1.5721014492753624,0.28007246376811595,0
Tablet,2,2.04,4.63,8.04,5.17,6.57,5.09,0.97,6.88,4.87,533.87,37.589999999999996,5.369999999999999,14.2024474594307,0.35142325086459164,1
Laptop,2,1.7,2.54,8.9,6.01,2.43,3.71,1.23,0.91,5.86,561.96,29.05,4.15,19.344578313253013,0.5132530120481927,1
Washing Machine,0,7.76,7.0,0.64,8.2,7.87,5.93,6.02,8.26,5.52,419.82,42.44,6.062857142857142,9.892082940622055,0.20829406220546656,1
Washing Machine,0,6.68,8.23,4.5,1.67,6.14,3.54,9.07,3.17,5.23,574.21,33.31999999999999,4.759999999999999,17.233193277310928,0.18517406962785118,1
Toaster,1,4.15,6.14,3.66,5.75,2.49,2.47,0.62,5.38,4.63,403.62,25.0,3.5714285714285716,16.1448,0.3764,1
Audio Equipment,3,4.88,6.73,3.64,3.84,1.85,8.21,7.1,9.72,1.46,438.85,35.82,5.117142857142857,12.251535455053043,0.20882188721384704,1
Washing Machine,0,3.89,3.47,5.69,8.27,4.01,0.36,1.91,0.23,2.35,498.07,22.82,3.2600000000000002,21.826029798422436,0.6117440841367222,1
Monitor,3,5.95,6.34,2.38,6.85,0.34,2.27,1.41,2.72,3.79,423.56,19.76,2.822857142857143,21.435222672064775,0.46710526315789475,1
Iron,1,2.85,7.97,5.84,3.55,7.25,8.76,7.17,1.5,4.25,457.78,38.32,5.474285714285714,11.946242171189978,0.2450417536534447,1
Toaster,1,3.19,1.2,6.26,6.71,3.19,0.66,7.02,2.86,2.91,492.91,29.61,4.2299999999999995,16.646740965889904,0.4380276933468423,1
Microwave Oven,1,5.53,5.91,8.85,9.04,3.08,1.23,0.65,6.41,1.97,749.37,31.229999999999997,4.461428571428571,23.995196926032662,0.5728466218379764,1
iPhone 11,2,5.33,8.27,4.29,4.06,4.72,1.79,2.72,3.24,7.47,496.6,28.29,4.041428571428571,17.553905973842348,0.2951572993990809,1
Fridge,0,5.6,3.09,8.6,8.41,7.24,6.82,7.53,2.71,2.22,737.96,43.53,6.218571428571429,16.952906041810245,0.39076498966230183,1
Vacuum Cleaner,1,2.9,0.57,2.39,6.35,2.82,6.77,8.13,0.38,1.5,271.05,28.34,4.048571428571429,9.564220183486238,0.3083980239943543,0
Laptop,2,5.27,9.55,8.49,5.17,0.53,1.11,7.71,5.32,5.26,719.35,33.589999999999996,4.798571428571428,21.415599880916943,0.4066686513843406,1
